frame_number,enemy_sue_x,enemy_inky_x,enemy_pinky_x,enemy_blinky_x,enemy_sue_y,enemy_inky_y,enemy_pinky_y,enemy_blinky_y,player_x,player_y,fruit_x,fruit_y,ghosts_count,player_direction,dots_eaten_count,player_score,num_lives,difficulty
1,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
2,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
3,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
4,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
5,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
6,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
7,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
8,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
9,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
10,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
11,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
12,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
13,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
14,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
15,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
16,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
17,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
18,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
19,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
20,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
21,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
22,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
23,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
24,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
25,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
26,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
27,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
28,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
29,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
30,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
31,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
32,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
33,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
34,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
35,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
36,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
37,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
38,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
39,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
40,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
41,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
42,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
43,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
44,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
45,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
46,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
47,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
48,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
49,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
50,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
51,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
52,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
53,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
54,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
55,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
56,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
57,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
58,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
59,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
60,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
61,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
62,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
63,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
64,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
65,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
66,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
67,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
68,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
69,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
70,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
71,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
72,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
73,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
74,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
75,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
76,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
77,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
78,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
79,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
80,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
81,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
82,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
83,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
84,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
85,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
86,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
87,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
88,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
89,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
90,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
91,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
92,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
93,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
94,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
95,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
96,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
97,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
98,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
99,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
100,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
101,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
102,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
103,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
104,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
105,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
106,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
107,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
108,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
109,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
110,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
111,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
112,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
113,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
114,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
115,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
116,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
117,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
118,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
119,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
120,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
121,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
122,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
123,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
124,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
125,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
126,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
127,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
128,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
129,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
130,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
131,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
132,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
133,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
134,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
135,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
136,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
137,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
138,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,4
